Breakdown,2022,2021,2020
Total Assets,21113705500,17979782000,15961889100
Total Liabilities Net Minority Interest,18604252100,15816377200,14065395300
Total Equity Gross Minority Interest,2509453400,2163404800,1896493800
Total Capitalization,4059171800,3334386600,2919600700
Common Stock Equity,2504838400,2159628400,1893082400
Capital Lease Obligations,78138000,70422000,65615100
Net Tangible Assets,2429900500,2084690500,1818144500
Invested Capital,4613339400,3573650700,3297018300
Tangible Book Value,2429900500,2084690500,1818144500
Total Debt,2186639000,1484444300,1469551000
Net Debt,509280300,372639500,677191800
Share Issued,5545541,5512776,5483286
Ordinary Shares Number,5545541,5512776,5483286
Treasury Shares Number,-,0,-